@relation 'chicago_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',48,1.5,1,312,34,52,9.145093,0.417638,3.088576,245
'Entire home/apt',54,1.3,1,19,26,38,8.807737,1.212488,5.15466,192
'Entire home/apt',42,0.78,2,141,9,59,7.212339,0.352537,2.449404,252
'Entire home/apt',123,2.34,4,82,28,37,8.528854,0.774362,3.725735,338
'Private room',140,2.6,23,259,16,53,10.354515,1.34781,10.740467,35
'Private room',88,1.64,23,59,4,51,10.271682,1.300098,10.621767,27
'Private room',4,0.08,1,0,0,1186,12.646797,0.469675,8.916427,60
'Entire home/apt',58,1.09,1,0,0,975,6.369801,0.068755,2.949404,200
'Entire home/apt',58,1.09,1,82,12,44,6.067291,0.266988,5.099872,122
'Entire home/apt',182,3.51,1,210,26,112,11.582197,0.258169,5.12238,106
'Private room',213,3.98,3,224,2,107,9.49523,1.006869,8.522675,51
'Entire home/apt',162,3.11,1,256,9,323,9.820235,0.461257,5.690501,250
'Entire home/apt',11,0.21,1,103,4,74,10.308721,0.629437,4.338657,400
'Private room',17,0.33,3,0,0,1424,6.794852,0.441959,3.118396,49
'Private room',86,1.61,3,0,0,1100,6.85677,0.440515,3.029749,59
'Entire home/apt',162,3.06,2,194,17,73,7.059177,0.268037,2.537011,193
'Private room',64,1.2,4,281,15,54,7.716094,0.407728,1.858949,114
'Entire home/apt',344,6.61,1,256,78,54,12.360907,0.006925,4.939386,194
'Entire home/apt',142,2.72,2,359,33,44,6.184788,0.531591,6.751803,184
'Entire home/apt',108,2.12,2,337,38,80,7.938014,0.415969,4.497968,115
'Entire home/apt',83,1.56,1,79,22,48,10.432085,0.671158,7.145643,196
'Entire home/apt',149,2.86,2,134,37,43,9.185551,0.41992,2.285974,176
'Entire home/apt',280,5.27,4,326,53,61,11.905707,0.102321,4.363285,117
'Entire home/apt',26,0.49,2,364,1,394,9.667355,0.71146,10.172268,300
'Entire home/apt',52,1,5,340,14,83,9.208017,0.175519,1.686427,921
'Private room',67,1.26,4,248,15,37,7.658888,0.440899,1.933072,73
'Entire home/apt',69,1.31,3,345,19,51,12.866934,0.131193,9.874573,285
'Private room',137,2.57,2,158,27,37,7.353005,0.236719,3.103526,92
'Entire home/apt',19,0.37,4,188,4,156,9.086064,0.562055,3.904831,214
'Entire home/apt',122,2.3,6,103,30,38,13.014754,0.316679,5.781269,87
'Private room',247,4.64,8,37,46,56,7.390316,0.163918,2.70397,70
'Private room',40,0.75,3,235,0,942,9.49523,1.006869,8.522675,75
'Entire home/apt',29,0.56,1,135,6,136,11.439296,0.149161,7.162999,90
'Private room',121,2.27,3,225,1,373,9.49523,1.006869,8.522675,45
'Entire home/apt',51,0.96,1,12,13,44,10.762493,0.169744,3.195615,325
'Private room',53,1,2,0,0,1080,9.162943,0.186983,2.669411,94
'Entire home/apt',76,1.47,1,162,11,44,7.067768,0.383078,3.646801,214
'Private room',57,1.07,3,252,6,39,7.202405,0.276844,7.714151,39
'Entire home/apt',131,2.67,3,286,38,38,10.456608,0.163271,2.57526,218
'Entire home/apt',194,3.7,1,305,24,89,13.305061,0.214064,6.646155,99
'Entire home/apt',176,3.33,3,336,32,39,9.390199,0.310012,3.735475,100
'Entire home/apt',135,2.55,1,71,37,42,8.257284,1.116154,8.441375,165
'Private room',149,2.88,3,226,4,172,7.112334,0.238473,7.706557,30
'Private room',2,0.04,2,0,0,1604,9.378062,0.090635,2.622006,65
'Entire home/apt',25,0.48,4,153,9,106,9.229969,0.417894,3.942862,1157
'Entire home/apt',30,0.58,4,349,7,45,10.397628,0.531154,6.279464,280
'Entire home/apt',31,0.59,4,349,9,67,10.397628,0.531154,6.279464,249
'Entire home/apt',21,0.41,1,329,6,44,11.002061,0.026256,3.42355,789
'Entire home/apt',280,5.3,1,198,69,43,10.298584,0.301587,5.327911,148
'Entire home/apt',133,3.51,3,58,47,50,7.406716,0.483318,10.367244,100
'Entire home/apt',199,3.78,3,61,41,62,7.372354,0.450106,10.361779,100
'Entire home/apt',60,1.16,1,33,6,101,12.321357,0.409928,5.235473,536
'Private room',99,2.13,1,298,49,38,9.879319,0.143097,4.910144,52
'Entire home/apt',167,3.17,2,324,33,54,11.511961,0.441168,5.290663,148
'Entire home/apt',125,2.4,2,72,16,142,9.582372,0.254127,2.902849,124
'Private room',40,0.82,1,163,19,36,9.695398,0.122667,6.142166,121
'Entire home/apt',159,3.07,1,166,35,61,8.389221,0.387821,1.523274,308
'Entire home/apt',30,0.6,10,258,27,44,9.315918,0.42819,8.212299,206
'Entire home/apt',151,2.89,1,133,26,43,6.409403,0.695485,3.181274,94
'Entire home/apt',167,3.34,2,326,43,52,8.288709,0.451421,9.285418,108
'Entire home/apt',0,NA,3,200,0,-1,8.579445,0.148672,0.851811,299
'Entire home/apt',128,2.43,5,187,33,45,9.792903,0.395021,3.073975,198
'Entire home/apt',71,1.34,2,76,20,58,13.309594,0.430911,5.836654,354
'Entire home/apt',146,2.96,1,334,32,37,7.63264,0.502844,1.752601,492
'Entire home/apt',131,2.48,1,139,27,42,9.612793,0.069113,4.144043,224
'Private room',22,0.42,1,0,0,1437,8.635145,0.35535,2.131679,71
'Entire home/apt',4,0.08,2,362,2,120,7.16961,1.229657,9.369587,100
'Entire home/apt',403,8,1,63,105,37,11.881812,0.322707,4.1658,131
'Entire home/apt',14,0.28,1,0,0,975,6.842936,0.312351,3.242026,95
'Entire home/apt',28,0.55,3,85,17,38,10.306624,0.51496,6.207933,123
'Private room',14,0.28,10,258,1,369,9.315918,0.42819,8.212299,64
'Entire home/apt',27,0.56,1,113,6,66,10.3108,0.292088,6.715658,68
'Entire home/apt',19,0.36,1,7,13,43,9.563595,0.507334,7.266139,132
'Private room',4,0.08,3,0,0,1535,11.740659,1.113179,10.120565,36
'Private room',11,0.22,10,258,2,202,9.315918,0.42819,8.212299,64
'Private room',13,0.26,10,258,3,333,9.315918,0.42819,8.212299,76
'Private room',9,0.18,10,168,1,369,9.315918,0.42819,8.212299,76
'Entire home/apt',278,5.5,1,56,63,44,8.624577,0.750014,3.517246,101
'Entire home/apt',58,1.11,1,0,0,1269,10.4037,0.258487,1.548709,75
'Entire home/apt',175,3.5,1,0,41,45,12.438285,0.2702,6.059643,137
'Entire home/apt',167,3.17,6,19,34,39,10.586077,0.407915,7.242916,199
'Entire home/apt',36,2.73,12,167,33,53,12.175417,0.208969,5.560073,404
'Entire home/apt',116,2.28,12,148,30,48,12.160313,0.284874,4.933663,254
'Entire home/apt',4,0.09,9,363,0,843,7.347649,0.740041,16.109979,200
'Private room',227,4.35,8,38,38,54,7.403985,0.165003,2.700549,70
'Private room',181,3.47,8,34,20,51,7.487528,0.210694,2.693,70
'Entire home/apt',152,2.93,1,306,46,42,9.006075,0.288492,2.007481,91
'Entire home/apt',124,2.4,1,114,39,38,8.195315,0.555866,2.936223,135
'Entire home/apt',1,0.02,1,0,0,1600,8.477232,0.418889,1.240971,550
'Private room',226,4.32,8,36,35,56,7.371888,0.148225,2.693642,68
'Entire home/apt',36,0.71,4,353,9,52,10.397628,0.531154,6.279464,258
'Entire home/apt',77,1.48,1,238,27,51,10.418251,0.453618,6.509724,629
'Private room',244,4.69,8,39,35,53,7.347346,0.266743,2.805308,66
'Entire home/apt',106,2.11,3,282,38,38,10.421942,0.288382,1.993511,518
'Entire home/apt',37,0.73,1,0,0,1106,8.738488,0.849578,3.737557,94
'Private room',5,0.12,8,35,2,103,7.330644,0.221318,2.766795,58
'Entire home/apt',81,1.76,1,72,25,38,8.424176,0.593705,2.852062,204
'Entire home/apt',64,1.27,1,180,1,76,8.931636,0.288042,7.458761,534
'Entire home/apt',372,7.32,1,34,58,52,10.542172,0.336444,5.643973,109
'Entire home/apt',91,1.75,4,264,19,72,12.28875,0.249683,4.73122,283
'Entire home/apt',18,0.35,5,170,5,59,8.518717,0.6322,2.628678,450
'Entire home/apt',112,2.21,1,70,36,45,11.51722,0.467399,4.451471,145
'Entire home/apt',406,7.85,8,335,69,37,13.389622,0.06335,6.239921,82
'Entire home/apt',413,8.01,8,346,79,38,13.389622,0.06335,6.239921,75
'Entire home/apt',47,0.96,4,287,15,44,9.269245,0.380098,3.942684,1186
'Entire home/apt',147,2.92,2,353,38,44,10.99024,0.632868,5.762409,121
'Entire home/apt',121,2.33,2,162,31,59,6.431113,0.220173,2.837647,107
'Entire home/apt',67,1.31,1,0,0,1086,10.649074,0.264606,2.542006,258
'Entire home/apt',36,2.54,1,248,33,44,11.912259,0.337876,7.135697,215
'Entire home/apt',97,1.94,2,87,26,43,8.746558,0.117246,7.217337,204
'Entire home/apt',223,4.29,57,308,38,62,8.888352,0.583345,3.335265,151
'Entire home/apt',15,0.29,1,25,6,86,9.786191,0.213128,4.331247,300
'Private room',1,0.04,1,0,0,766,13.641279,0.205293,7.049633,60
'Entire home/apt',135,2.59,1,222,33,94,10.072442,0.42376,4.114253,125
'Entire home/apt',27,0.53,1,83,4,134,9.151301,0.040683,8.043818,143
'Entire home/apt',117,2.26,2,210,11,78,11.378302,0.652312,6.60252,110
'Private room',27,0.52,3,0,0,1424,6.848952,0.366398,3.121216,49
'Entire home/apt',109,2.09,3,166,16,142,9.708727,0.255412,3.861671,92
'Entire home/apt',27,0.52,1,14,1,205,12.231189,0.569619,9.816774,90
'Private room',5,0.1,1,0,0,1522,13.446703,0.385724,9.954941,72
'Entire home/apt',165,3.18,1,303,21,51,7.20654,0.552917,2.038321,115
'Entire home/apt',95,1.83,1,345,18,84,9.349296,0.177124,1.706046,1328
'Entire home/apt',59,1.15,1,59,10,43,7.379501,0.490134,2.362045,186
'Private room',15,0.32,8,40,10,38,7.378376,0.139589,2.684795,66
'Private room',19,1.59,2,151,19,43,10.247509,1.00883,9.594145,93
'Private room',117,2.25,1,0,22,51,12.301663,0.073057,4.866996,110
'Entire home/apt',157,3.04,1,65,30,53,8.975934,0.659689,3.776957,121
'Entire home/apt',56,1.12,1,80,20,52,8.188352,0.176029,6.954936,236
'Entire home/apt',132,2.54,1,111,19,53,8.465034,0.592629,8.500169,63
'Entire home/apt',182,3.54,3,332,47,44,13.013071,0.451842,6.135873,99
'Entire home/apt',86,1.69,4,205,21,64,12.28875,0.249683,4.73122,310
'Entire home/apt',75,1.45,1,149,16,178,9.945733,0.322228,4.043064,624
'Entire home/apt',173,3.93,3,344,45,52,10.41001,0.464205,6.206424,158
'Shared room',1,0.02,1,0,0,1571,6.606986,0.273655,6.033418,80
'Private room',197,3.88,4,159,39,57,8.710581,0.674087,8.975689,131
'Entire home/apt',138,2.69,2,278,40,38,9.431244,0.751499,5.371035,146
'Entire home/apt',222,4.35,3,107,52,59,7.262807,0.111763,3.034687,386
'Entire home/apt',22,0.46,1,337,6,52,12.399914,0.066736,4.939187,253
'Entire home/apt',102,1.98,1,0,0,948,7.754069,0.220745,1.798524,168
'Entire home/apt',89,2.17,2,80,18,62,8.945355,0.745577,5.794597,277
'Entire home/apt',263,5.26,2,72,69,38,9.371196,0.152897,1.262199,251
'Entire home/apt',179,3.5,3,339,36,55,9.365162,0.348562,3.760594,102
'Entire home/apt',39,0.98,2,104,14,44,11.292502,0.461242,4.706423,339
'Entire home/apt',61,1.19,1,0,0,955,11.140083,0.457845,3.990338,84
'Shared room',76,1.48,23,174,10,53,10.387106,1.396154,10.718219,24
'Entire home/apt',9,0.19,1,352,0,1101,9.577952,0.143563,3.344119,215
'Shared room',81,1.56,23,0,11,100,10.368032,1.393583,10.672105,25
'Entire home/apt',158,3.07,57,273,8,108,9.404848,0.356213,6.295601,160
'Entire home/apt',128,2.5,2,198,35,44,8.909646,0.39761,2.060747,214
'Private room',101,1.95,2,0,0,947,9.439304,0.442413,4.531655,58
'Entire home/apt',78,1.54,1,327,13,104,11.748818,0.025115,4.289166,710
'Entire home/apt',222,4.31,3,76,66,37,10.679459,0.816847,5.041208,212
'Private room',59,1.14,2,0,0,950,9.490373,0.391483,4.55231,53
'Entire home/apt',4,1.04,2,185,4,79,8.238145,0.681742,4.487011,194
'Entire home/apt',6,1.7,2,311,6,46,8.316278,0.736991,4.08703,184
'Private room',12,2.42,4,172,12,55,7.229842,0.241713,2.348908,107
'Entire home/apt',239,4.66,4,2,47,39,7.365431,0.576992,2.455181,79
'Entire home/apt',79,1.62,17,329,23,59,7.995264,0.122684,1.720613,233
'Private room',12,0.24,4,81,6,45,7.944763,0.322306,8.689344,153
'Entire home/apt',49,0.97,1,364,5,291,9.749645,0.624031,8.821244,120
'Entire home/apt',43,1.08,1,78,5,86,9.206523,0.440731,3.942545,999
'Entire home/apt',1,0.03,1,0,0,1186,10.102059,0.453722,6.874062,199
'Private room',11,0.23,35,317,1,114,7.506518,0.33062,2.784002,96
'Shared room',39,0.79,23,0,8,92,10.328488,1.317349,10.738886,21
'Entire home/apt',35,0.68,1,0,0,450,9.296913,0.44279,8.264115,99
'Private room',57,1.11,1,337,14,38,7.834314,0.364105,3.41733,45
'Private room',51,1,2,14,14,66,12.893011,0.139382,5.501261,50
'Entire home/apt',79,1.59,2,345,15,44,7.677823,0.326415,9.124092,110
'Entire home/apt',366,7.23,2,343,70,52,12.165247,0.635883,9.845381,195
'Private room',63,1.24,1,9,23,44,7.579821,0.492169,1.8267,102
'Entire home/apt',14,0.27,2,180,1,142,10.00096,0.330342,4.30791,229
'Entire home/apt',120,2.35,1,0,0,1011,13.073777,0.319174,5.662343,75
'Private room',0,NA,1,0,0,-1,7.404571,0.157462,12.380097,19
'Entire home/apt',30,0.59,1,156,7,44,9.111191,0.695223,4.386084,125
'Entire home/apt',135,2.64,1,163,26,59,8.394356,0.996599,4.619626,98
'Entire home/apt',6,0.3,1,176,2,291,11.469183,0.303104,4.794145,275
'Entire home/apt',0,NA,68,365,0,-1,10.374038,0.585421,1.157038,164
'Private room',26,0.51,3,364,0,821,9.660641,0.278338,7.748047,50
'Entire home/apt',155,3.03,1,342,34,43,9.218031,0.232485,2.491065,55
'Entire home/apt',234,4.62,4,6,61,51,7.34301,0.539811,2.449356,82
'Entire home/apt',195,3.81,5,111,17,45,7.2535,0.478426,10.150973,96
'Entire home/apt',17,0.33,2,0,0,1210,10.460272,0.208137,2.07284,214
'Entire home/apt',129,2.53,1,307,23,53,8.318906,0.420109,6.641472,151
'Entire home/apt',127,2.5,1,142,51,44,9.986717,0.138848,1.21407,410
'Entire home/apt',163,3.23,19,342,18,52,8.393687,0.686185,3.74261,184
'Private room',200,4.02,2,55,37,38,8.668806,0.229233,0.967068,171
'Entire home/apt',157,3.09,2,58,41,38,5.092857,0.62513,4.304371,106
'Entire home/apt',68,1.38,1,251,27,59,9.353354,0.583347,4.863009,109
'Private room',25,0.51,2,311,9,52,13.149336,0.297525,8.878764,60
'Private room',63,1.24,1,0,0,954,10.208712,0.056904,5.739842,31
'Private room',99,2.54,1,207,25,37,4.506618,0.50293,5.480013,40
'Entire home/apt',6,0.13,68,348,1,140,10.496693,0.340272,1.414499,130
'Entire home/apt',68,1.34,4,95,16,59,12.28875,0.249683,4.73122,270
'Private room',211,4.18,2,60,54,43,8.652216,0.280377,1.029547,140
'Shared room',58,1.15,23,348,16,57,10.396795,1.39898,10.739252,25
'Shared room',65,1.28,23,44,9,62,10.279659,1.31274,10.615789,25
'Private room',115,2.3,1,323,44,38,11.188476,0.811107,6.308606,73
'Entire home/apt',119,2.48,2,338,46,44,11.21282,0.713915,5.122989,105
'Entire home/apt',62,1.25,2,328,25,50,8.718092,0.764614,3.175184,198
'Entire home/apt',156,3.12,3,305,32,38,10.597276,0.019959,2.297239,368
'Entire home/apt',20,0.39,1,0,5,66,12.870217,0.279092,5.337382,99
'Private room',32,0.63,1,44,0,1095,13.442467,0.028102,6.250799,66
'Private room',14,0.28,4,361,7,44,8.022206,0.357295,8.615575,150
'Entire home/apt',9,0.18,5,0,0,1095,10.170413,0.452039,0.940239,400
'Entire home/apt',31,0.61,1,347,8,59,9.569264,0.333618,7.84699,375
'Entire home/apt',22,2.27,2,347,22,44,9.806433,0.399244,3.052111,123
'Entire home/apt',10,0.21,1,0,1,381,10.727932,0.207391,2.953485,250
'Entire home/apt',6,0.12,5,0,0,1070,8.95952,0.09739,0.738123,400
'Entire home/apt',4,0.08,5,0,0,1446,10.345976,0.499817,1.1465,400
'Entire home/apt',45,0.93,2,143,15,60,7.951395,0.349557,3.153384,204
'Entire home/apt',173,3.43,8,277,36,64,12.286795,0.070979,4.894997,79
'Entire home/apt',15,0.33,35,301,3,81,5.866757,0.372129,3.42247,88
'Entire home/apt',15,0.32,68,342,5,110,10.562374,0.379231,1.488647,135
'Private room',26,0.52,7,4,5,72,12.690368,0.341224,7.823323,55
'Entire home/apt',80,1.59,1,74,11,86,6.619791,0.491674,2.719778,175
'Entire home/apt',2,0.04,1,0,0,1494,4.765792,0.867401,12.158307,250
'Private room',77,1.53,1,189,30,37,13.605122,0.191674,6.548135,97
'Private room',71,1.4,1,353,19,46,5.955433,0.272264,3.351743,90
'Private room',88,1.75,1,1,0,949,7.163056,0.586133,2.067575,100
'Entire home/apt',7,0.14,1,260,1,360,11.628557,0.719624,3.591204,289
'Entire home/apt',24,0.47,4,173,1,71,10.012015,0.25853,8.27841,80
'Entire home/apt',149,2.94,5,331,13,52,7.3164,0.414461,10.089109,99
'Private room',27,0.54,1,0,0,563,8.723104,0.464042,2.191058,88
'Entire home/apt',3,0.89,1,314,3,59,8.50324,0.859085,4.360329,165
'Entire home/apt',52,2.06,1,342,22,44,1.852834,0.303635,7.378374,99
'Entire home/apt',105,2.1,1,171,28,55,7.987532,0.377636,3.127555,141
'Entire home/apt',17,0.37,1,133,2,186,10.152447,0.056176,1.260783,115
'Entire home/apt',359,7.27,2,28,61,47,9.317857,0.138277,2.563062,119
'Entire home/apt',102,2.04,57,279,14,66,9.163757,0.086035,5.884322,126
'Entire home/apt',101,2.03,57,340,16,51,9.167212,0.090817,5.958903,131
'Entire home/apt',200,3.99,2,12,29,52,9.347563,0.291145,2.414482,172
'Entire home/apt',192,3.81,18,72,40,45,10.675399,0.316181,2.119294,118
'Entire home/apt',112,2.23,1,365,20,186,6.769596,0.417818,4.357782,69
'Entire home/apt',47,1.66,1,73,19,50,9.595735,0.654475,5.607826,123
'Private room',128,2.59,2,0,6,311,8.913271,0.365484,1.990786,109
'Entire home/apt',38,0.8,6,345,18,73,11.840344,0.672731,6.326081,800
'Entire home/apt',9,0.2,35,322,3,67,5.842289,0.399295,3.443334,106
'Entire home/apt',98,2.04,12,234,46,54,11.150901,0.358986,3.875627,443
'Entire home/apt',109,2.17,5,110,13,107,7.320078,0.410556,10.082156,99
'Entire home/apt',13,4.43,1,138,13,43,12.966674,0.260311,9.398395,516
'Entire home/apt',44,0.88,1,176,6,44,4.281372,1.108431,5.182449,138
'Entire home/apt',102,2.5,1,345,19,44,9.532979,0.327337,3.113379,186
'Entire home/apt',203,4.23,1,91,54,38,11.584377,0.168377,4.229496,172
'Entire home/apt',64,1.28,21,152,12,47,10.7299,0.307549,2.601156,189
'Private room',0,NA,1,0,0,-1,7.561704,0.338323,3.578005,29
'Entire home/apt',35,0.72,1,314,12,57,8.776984,0.700242,3.054975,289
'Entire home/apt',56,1.12,3,349,14,44,6.855778,0.321048,3.176948,99
'Entire home/apt',103,2.07,1,267,33,52,9.765573,0.202767,1.02597,427
'Entire home/apt',58,1.16,1,1,17,114,12.349391,0.336864,5.164484,198
'Entire home/apt',292,5.9,8,56,42,37,10.690024,0.072795,3.097443,205
'Entire home/apt',55,1.12,1,172,15,58,10.416014,0.346996,13.122558,150
'Entire home/apt',31,0.62,3,232,3,109,10.881201,0.382329,2.670961,179
'Entire home/apt',11,0.27,1,0,0,1145,11.615512,0.52872,7.426126,118
'Entire home/apt',134,2.75,1,345,38,43,11.033767,0.814157,6.678931,119
'Entire home/apt',138,2.76,1,332,42,51,11.310908,0.437319,4.74103,128
'Private room',170,3.43,8,13,41,58,7.371724,0.162953,2.707275,66
'Entire home/apt',9,0.19,1,0,0,1389,12.590844,0.418138,4.899775,99
'Entire home/apt',154,3.08,12,0,1,399,7.50652,0.248724,1.727694,69
'Private room',135,2.72,2,77,20,38,6.929694,0.44354,11.022035,72
'Entire home/apt',204,4.07,4,4,39,50,7.376082,0.567919,2.434982,62
'Private room',30,0.62,1,326,11,59,6.181003,0.34501,5.578796,51
'Entire home/apt',0,NA,1,226,0,-1,12.106167,0.46883,6.402309,56
'Entire home/apt',156,3.15,1,341,26,78,10.148842,0.293596,4.965474,79
'Entire home/apt',50,1.17,10,66,20,69,10.642739,0.052472,9.003051,465
'Private room',5,0.1,1,0,0,1459,6.398587,0.146597,4.364257,68
'Shared room',1,1,1,358,1,53,3.380084,0.318339,13.587384,46
'Entire home/apt',204,4.19,1,55,27,54,7.748343,0.481821,2.713193,274
'Entire home/apt',141,2.87,1,166,23,66,8.956948,0.399611,7.602903,139
'Entire home/apt',45,0.92,1,169,6,51,9.453548,0.117797,14.415297,125
'Entire home/apt',139,2.81,1,114,31,55,12.198507,0.310292,4.5679,269
'Entire home/apt',31,0.62,1,0,0,717,9.880593,0.390093,1.623405,90
'Entire home/apt',10,1.09,1,100,10,39,10.067192,0.225139,5.760698,210
'Private room',9,0.19,1,253,0,459,8.754924,0.614922,2.503952,75
'Entire home/apt',100,2.05,1,255,34,52,7.963502,0.565055,5.186202,191
'Entire home/apt',188,3.83,1,0,63,44,12.614779,0.140205,5.3018,215
'Private room',13,0.27,1,101,0,1092,3.058306,0.627276,6.19516,42
'Entire home/apt',37,0.75,1,42,0,1026,12.126191,0.239464,4.725526,99
'Entire home/apt',8,0.2,35,282,3,124,7.399261,0.279308,2.858443,99
'Entire home/apt',178,3.86,7,302,72,44,9.454111,0.232694,2.958912,186
'Private room',14,0.28,2,278,3,86,13.149387,0.294945,8.874498,63
'Private room',62,1.27,2,170,16,51,11.31119,0.484224,4.971278,161
'Entire home/apt',28,0.57,1,0,0,521,9.15783,0.873503,5.031904,99
'Entire home/apt',92,1.92,1,163,19,44,12.57533,0.547289,4.791727,707
'Entire home/apt',171,3.55,6,325,53,52,7.930109,0.208201,1.710094,363
'Entire home/apt',241,5,1,78,53,37,9.296371,0.178498,2.060921,184
'Entire home/apt',52,1.06,1,0,0,948,10.194628,0.421491,1.899704,135
'Entire home/apt',33,0.67,17,127,6,53,7.889531,0.184936,1.867652,446
'Entire home/apt',2,0.04,4,83,0,1224,5.725247,0.932478,8.799589,500
'Private room',7,0.28,2,0,2,107,4.950571,0.010943,5.384043,55
'Private room',41,0.86,2,256,2,172,8.430693,0.652903,5.669566,40
'Private room',91,1.86,2,171,13,59,11.303733,0.481591,4.950004,150
'Entire home/apt',9,0.26,35,364,4,65,5.857086,0.397454,3.421266,104
'Entire home/apt',129,2.64,1,13,33,51,13.04866,0.47477,6.15793,127
'Private room',0,NA,1,0,0,-1,9.791745,0.094311,0.601097,60
'Private room',3,0.08,4,89,0,1095,5.745763,0.908666,8.790778,99
'Private room',21,0.43,2,0,0,1092,8.458037,0.212251,2.311928,114
'Entire home/apt',82,1.71,4,0,0,891,8.507909,0.396285,1.333104,213
'Private room',0,NA,1,263,0,-1,8.955104,0.753081,5.749304,65
'Entire home/apt',124,2.54,57,335,17,60,9.223144,0.17758,6.269505,133
'Entire home/apt',139,2.83,57,314,20,62,9.235651,0.196883,6.063883,145
'Entire home/apt',44,0.9,1,0,1,324,12.074428,0.279501,4.414188,100
'Shared room',69,1.41,23,287,12,65,10.361272,1.355818,10.740653,22
'Entire home/apt',9,0.18,2,0,3,318,8.868894,0.437738,2.071847,209
'Entire home/apt',0,NA,1,0,0,-1,8.995242,0.057404,0.700226,86
'Entire home/apt',10,0.31,4,302,3,109,10.568914,0.297544,6.392082,80
'Entire home/apt',18,0.41,1,32,0,479,9.003566,0.319376,2.059656,150
'Entire home/apt',4,0.09,1,0,0,1256,8.259077,0.376811,3.428056,80
'Entire home/apt',151,3.08,2,262,27,72,12.375064,0.227135,5.109858,207
'Entire home/apt',1,0.02,1,0,0,1433,9.898891,0.019998,1.258096,150
'Entire home/apt',4,0.08,19,365,0,1039,9.151124,0.108039,1.88136,1352
'Entire home/apt',135,2.84,3,336,40,44,13.107904,0.397585,6.152228,99
'Entire home/apt',10,0.22,3,325,4,122,13.097714,0.402886,6.144065,399
'Entire home/apt',176,3.6,1,48,1,81,8.902651,0.107536,0.673895,120
'Entire home/apt',96,2.16,1,6,6,94,9.926443,0.399967,7.553675,110
'Entire home/apt',4,0.08,19,365,0,1145,9.221172,0.087643,1.78004,1222
